Ã¿Ã¾frame.time,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,udp.length
"Feb 21, 2025 10:15:17.871311000 GTB Standard Time",192.168.65.7,192.168.65.1,6,160,0x0018,
"Feb 21, 2025 10:15:17.872071000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:17.895147000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:17.895226000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:17.895823000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:17.895919000 GTB Standard Time",192.168.65.1,192.168.65.7,6,234,0x0018,
"Feb 21, 2025 10:15:17.895943000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:17.898041000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:15:17.898175000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:17.898202000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:17.898203000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1266,0x0018,
"Feb 21, 2025 10:15:17.898223000 GTB Standard Time",192.168.65.7,192.168.65.1,6,1514,0x0010,
"Feb 21, 2025 10:15:17.898224000 GTB Standard Time",192.168.65.7,192.168.65.1,6,823,0x0018,
"Feb 21, 2025 10:15:17.898386000 GTB Standard Time",192.168.65.7,192.168.65.1,6,71,0x0018,
"Feb 21, 2025 10:15:17.898789000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:17.898851000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:17.899068000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:17.901443000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0011,
"Feb 21, 2025 10:15:17.901854000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0011,
"Feb 21, 2025 10:15:17.902761000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
